Source,Target,Type,Weight,videos
UC9GtSLeksfK4yuJ_g1lgQbg,UCgtNC51EUSgcZ6kKyVoPxKA,Undirected,1,1
UCS24Tr9thUDMcggwNJ41YAQ,UCVgvEDdwOmLvZO5kvg1S80Q,Undirected,1,1
UCS24Tr9thUDMcggwNJ41YAQ,UCl9a2Sr1yQBl3aW1f47I8Vw,Undirected,1,1
UCS24Tr9thUDMcggwNJ41YAQ,UCpm-eB6U_qtPYYQC7kjlNIA,Undirected,1,1
UCVgvEDdwOmLvZO5kvg1S80Q,UCl9a2Sr1yQBl3aW1f47I8Vw,Undirected,1,1
UCVgvEDdwOmLvZO5kvg1S80Q,UCpm-eB6U_qtPYYQC7kjlNIA,Undirected,1,1
UCl9a2Sr1yQBl3aW1f47I8Vw,UCpm-eB6U_qtPYYQC7kjlNIA,Undirected,1,1
UCgZGpR80Z-x5fnUsKuKM2kg,UCxKoKHs7YwjE_6nL6U36BsQ,Undirected,1,1
UC3WIRbOw46MsbycRc1N5x4g,UCqTVLEx7lQPmYzc_m6T4sug,Undirected,9,9
UCAMMASsBi2u3EH4H8ie1VOw,UCBRFlde39a2U4nAkmGqJwAQ,Undirected,6,6
UC3PdiRW5dUA4V70ueeR1eHA,UCy5FUarBYUHFpPtYVuvzgcA,Undirected,7,7
UCRZakVHslRU8dzmyX6jNU7Q,UCsS4GcdzUm2wR-gKJomPcIQ,Undirected,5,5
UC-4mIX9ls8ROVk9ApfeYf5w,UCpmBpSoy6YQjcshNK6pSyIA,Undirected,8,8
UCuSv25h638kXRLK4WnRE5qA,UCy28fcjOAD027nyICkUifMg,Undirected,1,1
UC-APlmDP40YlEG4Yb5taKmA,UCCyLTeLNwGXvodrH8QwgBdg,Undirected,1,1
UCHxvwUZ4kvZbzZomO0EWsSg,UCjnjC4qkArPpbFRj-e0pSVw,Undirected,1,1
UCFxcvC9iSvS3OX5B6_cUxAg,UCo8bcnLyZH8tBIH9V1mLgqQ,Undirected,1,1
UCVVVUIzfO4y3k_m3QSS6gYQ,UCamdvUq4-BoneYsHZt0Agrw,Undirected,1,1
UCGg-UqjRgzhYDPJMr-9HXCg,UCMDQxm7cUx3yXkfeHa5zJIQ,Undirected,6,6
UCMDQxm7cUx3yXkfeHa5zJIQ,UCkRfArvrzheW2E7b6SVT7vQ,Undirected,6,6
UCGg-UqjRgzhYDPJMr-9HXCg,UCStaiwu-FAgp_RC_tBiLh9A,Undirected,1,1
UCStaiwu-FAgp_RC_tBiLh9A,UCkRfArvrzheW2E7b6SVT7vQ,Undirected,1,1
UCjViLOtyvR9h1hXZU6F6q6w,UCs9_ujGwhCU0BBO6RfTzyEw,Undirected,1,1
UCWc8CackfCo4q46FpEWBcPg,UCqZQlzSHbVJrwrn5XvzrzcA,Undirected,1,1
UCm0f25HAdDa4kMcD_dJPa_g,UCvl54wMzxTPObTA2NKDGAbw,Undirected,1,1
UCJC4N7DUUd0SUICV5FqCXkg,UCS7ymygmWSouLD5N90Tt4Uw,Undirected,1,1
UCJC4N7DUUd0SUICV5FqCXkg,UCse2f5kmznfkMt0xppwY8VQ,Undirected,1,1
UCS7ymygmWSouLD5N90Tt4Uw,UCe2SaU4UT7jkpTP04TM_hJA,Undirected,1,1
UCS7ymygmWSouLD5N90Tt4Uw,UCse2f5kmznfkMt0xppwY8VQ,Undirected,1,1
UCe2SaU4UT7jkpTP04TM_hJA,UCse2f5kmznfkMt0xppwY8VQ,Undirected,1,1
UC4BvTjB-32p0hCe3sdmf2AQ,UCJC4N7DUUd0SUICV5FqCXkg,Undirected,1,1
UC3gUpaZvDknKkxeNfks4Rng,UCGlKrG9oJIXrwpmRDHG3lng,Undirected,1,1
UC9zY_E8mcAo_Oq772LEZq8Q,UClOZoLNwJVdNzkEhzeevBSA,Undirected,1,1
UC9zY_E8mcAo_Oq772LEZq8Q,UCztEY6czNyJKjRWMwuur9bg,Undirected,1,1
UClOZoLNwJVdNzkEhzeevBSA,UCztEY6czNyJKjRWMwuur9bg,Undirected,1,1
UC3IZKseVpdzPSBaWxBxundA,UCTk7wEWFxDGd1p1BUnUBINg,Undirected,1,1
UC3IZKseVpdzPSBaWxBxundA,UClOZoLNwJVdNzkEhzeevBSA,Undirected,1,1
UCTk7wEWFxDGd1p1BUnUBINg,UClOZoLNwJVdNzkEhzeevBSA,Undirected,6,6
UC-Fnix71vRP64WXeo0ikd0Q,UCYDmx2Sfpnaxg488yBpZIGg,Undirected,1,1
