Id,Label,url,Main Topic,Total Views,Total Videos,Subscribers
UCDZDBlaQ7Nrrra0sJhJI_Ng,𝑺𝒖𝒎𝒎𝒆𝒓͙͘͡,https://www.youtube.com/channel/UCDZDBlaQ7Nrrra0sJhJI_Ng,Action game,9556551,175,17200
UCKe2bQYsX7pmhcTSLYJ9y2Q,m1nty,https://www.youtube.com/channel/UCKe2bQYsX7pmhcTSLYJ9y2Q,Role-playing video game,2580230,158,2210
UCOGC-bI4HhyXJYj6-d-URUw,Emerald and Ruby,https://www.youtube.com/channel/UCOGC-bI4HhyXJYj6-d-URUw,Film,2293179,82,12600
UCsgv1MlOAUeUsMd_znxvlxA,mochiz,https://www.youtube.com/channel/UCsgv1MlOAUeUsMd_znxvlxA,Film,308993,116,729
UC0lhr4dvpfKJ0C3TPFXu3ww,Seether,https://www.youtube.com/channel/UC0lhr4dvpfKJ0C3TPFXu3ww,Pop music,2004388523,494,1710000
UC2lkUzsiOARl3nwZDeZus3g,SeetherVEVO,https://www.youtube.com/channel/UC2lkUzsiOARl3nwZDeZus3g,Independent music,1173218376,70,590000
UCDuIpWXcrBaTCNJTNd4meWw,Lloyd,https://www.youtube.com/channel/UCDuIpWXcrBaTCNJTNd4meWw,Music,1261748321,0,1340000
UCYvy_rZWF3udXeDHy3PBdtw,LloydVEVO,https://www.youtube.com/channel/UCYvy_rZWF3udXeDHy3PBdtw,Hip hop music,776388740,45,611000
UCV0pIPt5HFfulonNog3cz1A,G Herbo,https://www.youtube.com/channel/UCV0pIPt5HFfulonNog3cz1A,Pop music,1695288834,392,2020000
UC_eQfAQjj6mYj92l3SBmIdg,Harlem Fetty,https://www.youtube.com/channel/UC_eQfAQjj6mYj92l3SBmIdg,Pop music,2992785757,304,4730000
UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,https://www.youtube.com/channel/UCBVjMGOIkavEAhyqpxJ73Dw,Pop music,28166637186,314,38000000
UCN1hnUccO4FD5WfM7ithXaw,Maroon5VEVO,https://www.youtube.com/channel/UCN1hnUccO4FD5WfM7ithXaw,Pop music,23364112375,160,14100000
UC5Ls-9vs1SI7bEOtn8BD8vA,Feeture,https://www.youtube.com/channel/UC5Ls-9vs1SI7bEOtn8BD8vA,Hip hop music,199522,9,26800
UCxX8Kd1xWQ1I1N3HAAzihBw,Larry Ohh,https://www.youtube.com/channel/UCxX8Kd1xWQ1I1N3HAAzihBw,Lifestyle (sociology),8365479,668,63400
UC9YcTIQuhwgoOQqYMKYqW9A,Migos ATL,https://www.youtube.com/channel/UC9YcTIQuhwgoOQqYMKYqW9A,Pop music,8346613773,99,13100000
UCGIelM2Dj3zza3xyV3pL3WQ,MigosVEVO,https://www.youtube.com/channel/UCGIelM2Dj3zza3xyV3pL3WQ,Music,3907670503,115,1790000
UC2xskkQVFEpLcGFnNSLQY0A,RihannaVEVO,https://www.youtube.com/channel/UC2xskkQVFEpLcGFnNSLQY0A,Music,22658449493,119,24700000
